Date,Year,Month,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
05/17/14,2014,5,Home Depot,THE HOME DEPOT 3615 CARY NC,13.72,debit,Home Improvement,COLLEGE CARD,,
05/17/14,2014,5,Phydeaux,PHYDEAUX - CHAPEL HILL NC 0555,11.81,debit,Pet Food & Supplies,Fidelity Investments Investment Rewards Signature Visa,,
05/17/14,2014,5,Washington Post Digitalsubcription Dc,WPC*DIGITALSUBCRIPTION - 202-334-6100 DC 8839,9.99,debit,Reading,Fidelity Investments Investment Rewards Signature Visa,,
05/17/14,2014,5,Whole Foods,WHOLEFDS CHP 10008 - CHAPEL HILL NC 6499,32.05,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
05/17/14,2014,5,DSW Designer Shoe Warehouse,DSW - DURHAM NC 2437,75.14,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/17/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",7.75,debit,Restaurants,Schwab,,
05/17/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",10,debit,Restaurants,Schwab,,
05/17/14,2014,5,Whole Foods,WHOLE FOODS MARK 81 So Chapel Hill,11.07,debit,Groceries,Schwab,,
05/16/14,2014,5,Starbucks,STARBUCKS #09840 CARY Cary NC,3.5,debit,Coffee Shops,COLLEGE CARD,,
05/16/14,2014,5,Pei Wei,PEI WEI #0116 Q02 CARY NC,8.72,debit,Restaurants,COLLEGE CARD,,
05/16/14,2014,5,iTunes,APL*APPLE ITUNES STORE 866-712-7753 CA,2.45,debit,Music,COLLEGE CARD,,
05/16/14,2014,5,Domino's Pizza,DOMINO'S 8903 919-303-0010 NC,21.03,debit,Fast Food,COLLEGE CARD,,
05/16/14,2014,5,Check 1523,CHECK # 1523,140,debit,Check,Wells Fargo Checking Acct,,
05/16/14,2014,5,YMCA,"CHC YMCA 9199425156 140516 XXXXX5159 and Vicki Cotton, Jame",76,debit,Gym,Wells Fargo Checking Acct,,
05/16/14,2014,5,Lowe's,LOWES #00487* - CHAPEL HILL NC 0607,12.32,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
05/16/14,2014,5,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC 0796,28.81,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/16/14,2014,5,Mothers Against Drunk Driving,MOTHERS AGAINST DRUNK - 515-246-6930 IA 0302,35,debit,Health & Fitness,Fidelity Investments Investment Rewards Signature Visa,,
05/16/14,2014,5,Staples,STAPLES 00108431 - CHAPEL HILL NC 2485,4.06,debit,Office Supplies,Fidelity Investments Investment Rewards Signature Visa,,
05/16/14,2014,5,USPS,USPS 36137605031006752 - CHAPEL HILL NC 0090,51.38,debit,Shipping,Fidelity Investments Investment Rewards Signature Visa,,
05/16/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",6,debit,Restaurants,Schwab,,
05/16/14,2014,5,Summerwind Pools & Spas,"SUMMERWIND POOLS &CARRBORO, NC #00000019",23.44,debit,Pool,Schwab,,
05/16/14,2014,5,Orange Water & Sewer Dept,ORANGE WATER&SEW ONLINE PMT 140516,70.66,debit,Utilities,Schwab,,
05/16/14,2014,5,Duke Power Ali,DUKE POWER ONLINE PMT 140516,3.54,debit,Ali Electric,Schwab,,
05/15/14,2014,5,Staples,STAPLES 00117481 CARY NC,25.61,debit,Office Supplies,COLLEGE CARD,,
05/15/14,2014,5,Harry,HARRY'S - 888-2126855 NY 6845,18,debit,Personal Care,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Amazon Kindle,AMAZON SERVICES-KINDLE - 866-216-1072 WA 8196,9.14,debit,Books,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Amazon,AMAZON.COM - AMZN.COM/BIL WA 1821,44.06,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Svcsapps Local Cc,GOOGLE *SVCSAPPS_LOCAL - CC@GOOGLE.CO CA 0787,10,debit,Uncategorized,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Sam Barbeque,SAM'S BARBEQUE - CHAPEL HILL NC 0080,13.29,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Walgreens,WALGREENS #11547 - CHAPEL HILL NC 0181,5.38,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Amazon,AMAZON MKTPLACE PMTS - AMZN.COM/BIL WA 5917,99.1,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Fosters Market,FOSTERS MARKET OF CHAP - CHAPEL HILL NC 0696,8.6,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/15/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",10,debit,Restaurants,Schwab,,
05/15/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",6,debit,Restaurants,Schwab,,
05/15/14,2014,5,Southeast Toyota,SOUTHEAST TOY ONLINE PMT 140515,357.45,debit,Auto Payment,Schwab,,
05/15/14,2014,5,Withdrawal,Electronic Withdrawal,150,debit,Cash & ATM,Schwab,,
05/15/14,2014,5,Time Warner,TIME WARNER ONLINE PMT 140515,45.34,debit,CableTV/Internet,Schwab,,
05/14/14,2014,5,Interest,INTEREST PAYMENT,0.24,credit,Interest Income,Wells Fargo Checking Acct,,
05/14/14,2014,5,Transfer from Costco AmEx,WELLS FARGO REWARDS,25,credit,Transfer,Wells Fargo Checking Acct,,
05/14/14,2014,5,Amazon,AMAZON MKTPLACE PMTS - AMZN.COM/BIL WA 9814,35.99,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
05/14/14,2014,5,Nordstrom,NORDSTROM DIRECT #0808 - 319-846-4000 IA 3571,64.5,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/14/14,2014,5,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC 7956,39.27,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/14/14,2014,5,Amazon Kindle,AMAZON SERVICES-KINDLE - 866-216-1072 WA 9744,1.06,debit,Books,Fidelity Investments Investment Rewards Signature Visa,,
05/14/14,2014,5,Four B's,FOUR BROS #310 7812 ADVANCE13439014    336-940-2363 320141340793630116,38.06,debit,Restaurants,Costco AmEx,,
05/14/14,2014,5,Harris Teeter,HARRIS TEETER 2110 S Es Chapel Hill,15.55,debit,Groceries,Schwab,,
05/14/14,2014,5,Home Depot,THE HOME DEPOT 3620 DURHAM,4.27,debit,Home Improvement,Schwab,,
05/14/14,2014,5,State Farm Bank Online,STATE FARM BANK ONLINE PMT 140514,491.99,debit,Auto Payment,Schwab,,
05/14/14,2014,5,Transfer High Yield,Transfer to High Yield Checking -7570,75,debit,Eric Expenses,Schwab,,
05/14/14,2014,5,State Farm Bank Online,STATE FARM INS ONLINE PMT 140514,180.55,debit,Auto Payment,Schwab,,
05/13/14,2014,5,Noodles & Company,NOODLES CO 856 CARY NC,10.37,debit,Restaurants,COLLEGE CARD,,
05/13/14,2014,5,Salsas Mex Carib,SALSAS MEX CARIB REST. - ASHEVILLE NC 0424,17.19,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/13/14,2014,5,Salsas Mex Carib,SALSAS MEX CARIB REST. - ASHEVILLE NC 0473,54.01,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/13/14,2014,5,Amazon,AMAZON MKTPLACE PMTS - AMZN.COM/BIL WA 5356,35.99,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
05/13/14,2014,5,Coleman,COLEMAN'S DRUG STORE I - STANFORD KY 3159,14.51,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/13/14,2014,5,Wal-Mart,WM SUPERCENTER #692 - DANVILLE KY 2789,61.36,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
05/13/14,2014,5,Marathon,MARATHON PETROLEUM CHUSTONVILLE14622538202 AUTO FUEL DISPENSER 320141330782218939,24.98,debit,Gas & Fuel,Costco AmEx,,
05/12/14,2014,5,Transfer from Wells Fargo Checking Acct,BANK ORIGINATED CREDIT,239708.3,credit,Transfer,SAVINGS,,
05/12/14,2014,5,Foster Markets,FOSTER MARKETS INC DURHAM NC,6.99,debit,Groceries,COLLEGE CARD,,
05/12/14,2014,5,Michaels,MICHAELS STORES 2122 CARY NC,122.26,debit,Hobbies,COLLEGE CARD,,
05/12/14,2014,5,TCBY,TCBY #9431601 CARY NC,2.91,debit,Restaurants,COLLEGE CARD,,
05/12/14,2014,5,Exxon,EXXONMOBIL 97335442 CARY NC,37.04,debit,Service & Parts,COLLEGE CARD,,
05/12/14,2014,5,Transfer to SAVINGS,BANK ORIGINATED DEBIT,239708.3,debit,Transfer,Wells Fargo Checking Acct,,
05/12/14,2014,5,Sq Hub Coffee,SQ *THE HUB COFFEE HOU - DANVILLE KY 3802,4.08,debit,Coffee Shops,Fidelity Investments Investment Rewards Signature Visa,,
05/12/14,2014,5,NY Times,NY TIMES NATL SALES - 800-698-4637 NY 1779,65.9,debit,Reading,Fidelity Investments Investment Rewards Signature Visa,,
05/12/14,2014,5,Check 995322,Check Paid #995322,30,debit,Check,Schwab,,
05/12/14,2014,5,BASF SE ADR FSPONSORED ADR 1 ADR REPS 1 ORD,BASF SE ADR FSPONSORED ADR 1 ADR REPS 1 ORD,34,debit,Trade Commissions,Living Trust,,
05/11/14,2014,5,iTunes,APL*APPLE ITUNES STORE 866-712-7753 CA,3.84,debit,Music,COLLEGE CARD,,
05/11/14,2014,5,Sirius Radio,SXM*SIRIUSXM.COM/ACCT - 888-635-5144 NY 0369,18.12,debit,Music,Fidelity Investments Investment Rewards Signature Visa,,
05/11/14,2014,5,Kroger,KROGER #733 - DANVILLE KY 9133,83.24,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
05/11/14,2014,5,Pazzo's Pizza Pub,PAZZO'S PIZZA PUB - LEXINGTON KY 0105,8.92,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/11/14,2014,5,Wal-Mart,WAL-MART #0692 - DANVILLE KY 0302,13.2,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
05/11/14,2014,5,U Ky Bkst,U. OF KY BKST #446 - LEXINGTON KY 0079,69.93,debit,Uncategorized,Fidelity Investments Investment Rewards Signature Visa,,
05/11/14,2014,5,Liquor Barn,LIQUOR BARN #940 - DANVILLE KY 0425,9.25,debit,Alcohol & Bars,Fidelity Investments Investment Rewards Signature Visa,,
05/11/14,2014,5,Pilot Travel Center,PILOT TRAVEL CENTERSLAKE CITY00000092290 GAS STATION 320141310749172424,38.74,debit,Gas & Fuel,Costco AmEx,,
05/11/14,2014,5,Home Depot,"HOMEDEPOT.COM 800-430-3376, CA #0000",21.45,debit,Home Improvement,Schwab,,
05/11/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",6,debit,Restaurants,Schwab,,
05/10/14,2014,5,Barnes & Noble,BARNES & NOBLE #2647 CARY NC,17.29,debit,Reading,COLLEGE CARD,,
05/10/14,2014,5,Starbucks,STARBUCKS #09840 CARY Cary NC,4.79,debit,Coffee Shops,COLLEGE CARD,,
05/10/14,2014,5,Target,TARGET 00009613 CARY NC,15.56,debit,Shopping,COLLEGE CARD,,
05/10/14,2014,5,Rocky Hot Chicke,ROCKY'S HOT CHICKE - ASHEVILLE NC 3162,15.25,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/10/14,2014,5,Amazon Kindle,AMAZON SERVICES-KINDLE - 866-216-1072 WA 6717,10.69,debit,Books,Fidelity Investments Investment Rewards Signature Visa,,
05/10/14,2014,5,Rocky Hot Chicke,ROCKY'S HOT CHICKE - ASHEVILLE NC 3022,21.94,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/10/14,2014,5,Lucky,LUCKY 32            CARY9192331632 320141300731904662,198.05,debit,Restaurants,Costco AmEx,,
05/10/14,2014,5,Marathon,MARATHON PETROLEUM CCHAPEL HILL13168530602 AUTO FUEL DISPENSER 320141300735612481,38.42,debit,Gas & Fuel,Costco AmEx,,
05/10/14,2014,5,Weaver Street Market,WEAVER STREET MARKET HILLSBOROUGH,9.27,debit,Restaurants,Schwab,,
05/09/14,2014,5,Crossroads 20,REGAL CROSSROADS 20 CARY NC,8.75,debit,Movies & DVDs,COLLEGE CARD,,
05/09/14,2014,5,Deposit Made In,DEPOSIT MADE IN A BRANCH/STORE #711301620,239708.3,credit,Income,Wells Fargo Checking Acct,,
05/09/14,2014,5,Check 1522,CHECK # 1522,230,debit,Check,Wells Fargo Checking Acct,,
05/09/14,2014,5,In Chris Van,IN *CHRIS VAN GOETHEM - 919-3062855 NC 1977,60,debit,Lawn & Garden,Fidelity Investments Investment Rewards Signature Visa,,
05/09/14,2014,5,Public Works,CH PUBLIC WORKS - 919-968-2835 NC 0010,15,debit,Bills & Utilities,Fidelity Investments Investment Rewards Signature Visa,,
05/09/14,2014,5,Nordstrom,NORDSTROM #0751 - DURHAM NC 7555,139.64,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/09/14,2014,5,Macy's,MACY'S EAST #783 - DURHAM NC 4989,32.23,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/09/14,2014,5,Crossroads 20,REGAL CROSSROADS 20 - CARY NC 3199,42,debit,Movies & DVDs,Fidelity Investments Investment Rewards Signature Visa,,
05/09/14,2014,5,Sam Barbeque,SAM'S BARBEQUE - CHAPEL HILL NC 0110,14.19,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/09/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",10,debit,Restaurants,Schwab,,
05/09/14,2014,5,Weaver Street Market,WEAVER STREET MARKET HILLSBOROUGH,10.54,debit,Restaurants,Schwab,,
05/09/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",5.5,debit,Restaurants,Schwab,,
05/09/14,2014,5,South Carolina Electric Gas Company,SCE&G/PSNC DRAFT 140508~ Tran: ACHDW,20.57,debit,Utilities,Schwab,,
05/08/14,2014,5,iTunes,APL*APPLE ITUNES STORE 866-712-7753 CA,10.77,debit,Music,COLLEGE CARD,,
05/08/14,2014,5,Harris Teeter,HARRIS TEETER #0297 - CARRBORO NC 6837,17.74,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
05/08/14,2014,5,Hallmark,LYNN'S HALLMARK SHOP - DURHAM NC 2334,10.73,debit,Gifts,Fidelity Investments Investment Rewards Signature Visa,,
05/08/14,2014,5,Jos. A. Bank,JOS. A. BANK #478 - DURHAM NC 0017,184.47,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/08/14,2014,5,Pet Pad,THE PET PAD CARY NC,20.92,debit,Pet Food & Supplies,COLLEGE CARD,,
05/08/14,2014,5,Waketech,WAKETECH MAIN BKSTOR 908-991-2629 NC,37.36,debit,Ali Misc,COLLEGE CARD,,
05/08/14,2014,5,Tobacco Road Sports,TOBACCO ROAD SPORTS CHAPEL HILL054088246   919-537-8404 320141280705455203,44.8,debit,Food & Dining,Costco AmEx,,
05/08/14,2014,5,Chapel Hill Pediatrics,OC CHAPEL HILL 73 OCCHAPEL HILL50017       140 WEST FRANKLIN STR 320141280705094680,35.66,debit,Doctor,Costco AmEx,,
05/08/14,2014,5,South Carolina Electric Gas Company,SCE&G/PSNC DRAFT 140507~ Tran: ACHDW,10,debit,Utilities,Schwab,,
05/08/14,2014,5,Duke Power Ali,DUKE POWER ONLINE PMT 140508,13.83,debit,Ali Electric,Schwab,,
05/08/14,2014,5,Withdrawal,Electronic Withdrawal,70,debit,Cash & ATM,Schwab,,
05/08/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",12,debit,Restaurants,Schwab,,
05/08/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",5.5,debit,Restaurants,Schwab,,
05/08/14,2014,5,Withdrawal,Electronic Withdrawal,80,debit,Cash & ATM,Schwab,,
05/08/14,2014,5,South Carolina Electric Gas Company,SCE&G/PSNC DRAFT 140507~ Tran: ACHDW,31.15,debit,Utilities,Schwab,,
05/07/14,2014,5,Trader Joe's,TRADER JOE'S #745 QPS - CHAPEL HILL NC 2509,52.17,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
05/07/14,2014,5,Ch West Parking,CH 140 WEST PARKING DE - CHAPEL HILL NC 0465,1,debit,Parking,Fidelity Investments Investment Rewards Signature Visa,,
05/07/14,2014,5,Summerwind Pools & Spas,SUMMERWIND POOLS & SPA - CARRBORO NC 6425,37.71,debit,Pool,Fidelity Investments Investment Rewards Signature Visa,,
05/07/14,2014,5,Dropcam Com Ca,DROPCAM.COM - 000-0000000 CA 1050,9.95,debit,Uncategorized,Fidelity Investments Investment Rewards Signature Visa,,
05/07/14,2014,5,Summerwind Pools & Spas,SUMMERWIND POOLS & SPA - 919-929-1199 NC 6425,485.87,debit,Pool,Fidelity Investments Investment Rewards Signature Visa,,
05/07/14,2014,5,Lowe's,LOWES #00487* - CHAPEL HILL NC 4780,7.6,credit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
05/07/14,2014,5,Check 1519,CHECK # 1519,44,debit,Check,Wells Fargo Checking Acct,,
05/07/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",10,debit,Restaurants,Schwab,,
05/06/14,2014,5,Home Depot,HOMEDEPOT.COM - 800-430-3376 CA 1282,372.56,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
05/06/14,2014,5,Corner Tavern Ca,THE CORNER TAVERN - CA - CARY NC 6351,26.42,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/06/14,2014,5,Lowe's,LOWES #00487* - CHAPEL HILL NC 4124,42.92,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
05/06/14,2014,5,The Weathervane,THE WEATHERVANE RSTRCHAPEL HILL56932       RESTAURANT 320141260675147584,17.78,debit,Restaurants,Costco AmEx,,
05/06/14,2014,5,Kroger,KROGER #342 CARY NC,15.69,debit,Groceries,COLLEGE CARD,,
05/06/14,2014,5,Cash Ewithdrawal In 129 South Estes Drive,Cash eWithdrawal in Branch/Store - 129 S ESTES DR CHAPEL HILL NC 2169,50,debit,Cash & ATM,Wells Fargo Checking Acct,,
05/06/14,2014,5,Deposit Made In,DEPOSIT MADE IN A BRANCH/STORE #711361584,1826,credit,Income,Wells Fargo Checking Acct,,
05/06/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",5.5,debit,Restaurants,Schwab,,
05/06/14,2014,5,Weaver Street Market,WEAVER STREET MARKET HILLSBOROUGH,46.78,debit,Restaurants,Schwab,,
05/06/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",11.75,debit,Restaurants,Schwab,,
05/06/14,2014,5,Check 1040,Check Paid #1040,120,debit,Check,Schwab,,
05/06/14,2014,5,Ally Financial Online,ALLY FINANCIAL ONLINE PMT 140506,130.81,debit,Auto Payment,Schwab,,
05/05/14,2014,5,Jos. A. Bank,JOS A BANK CATALOG #03 - 800-999-7472 MD 7034,349.38,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,DSW Designer Shoe Warehouse,DSW - DURHAM NC 1443,59.07,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,Home Depot,THE HOME DEPOT 3620 - DURHAM NC 5560,8.54,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,Circulation Dept,N&O CIRCULATION - 800-522-4205 NC 0307,78.26,debit,Printing,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,Mez,MEZ - DURHAM NC 0150,28.69,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,Land's End,LANDS END INTERNET - 800-332-4700 WI 7363,52.68,credit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,Land's End,LANDS END INTERNET - 800-332-4700 WI 6658,131.44,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,Eddie Bauer,EDDIEBAUER.COM - 800-426-6253 WA 2690,91.37,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/05/14,2014,5,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,8.38,debit,Coffee Shops,COLLEGE CARD,,
05/05/14,2014,5,Exxon,EXXONMOBIL 97335442 CARY NC,36.9,debit,Service & Parts,COLLEGE CARD,,
05/05/14,2014,5,Kroger,KROGER #342 CARY NC,75.15,debit,Groceries,COLLEGE CARD,,
05/05/14,2014,5,Interest Charge,PURCHASE INTEREST CHARGE,0.38,debit,Finance Charge,Chase VISA,,
05/04/14,2014,5,Lowe's,LOWES #00487* - CHAPEL HILL NC 1101,67.5,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
05/04/14,2014,5,For Makers Ny,FOR THE MAKERS - 919-796-4855 NY 6958,29,debit,Misc,Fidelity Investments Investment Rewards Signature Visa,,
05/04/14,2014,5,Mediterranean Deli,MEDITERRANEAN DELI - CHAPEL HILL NC 5556,23.9,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/04/14,2014,5,Pizza Hut,PIZZA HUT 029381 316-634-1888 NC,23.68,debit,Fast Food,COLLEGE CARD,,
05/04/14,2014,5,Transfer High Yield,Transfer to High Yield Checking -7570,100,debit,Eric Expenses,Schwab,,
05/04/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",5.5,debit,Restaurants,Schwab,,
05/04/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",7.5,debit,Restaurants,Schwab,,
05/03/14,2014,5,Whole Foods,WHOLEFDS CHP 10008 - CHAPEL HILL NC 8824,10.89,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
05/03/14,2014,5,Whole Foods,WHOLEFDS CHP 10008 - CHAPEL HILL NC 8907,39.25,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
05/03/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",10.75,debit,Restaurants,Schwab,,
05/02/14,2014,5,Summerwind Pools & Spas,SUMMERWIND POOLS & SPA - CARRBORO NC 6478,46.6,debit,Pool,Fidelity Investments Investment Rewards Signature Visa,,
05/02/14,2014,5,Dillard's,DILLARD'S 141 CARY TOWN CCARY NC,228.45,debit,Clothing,COLLEGE CARD,,
05/02/14,2014,5,Humblebundle Com Humblebundle,HUMBLEBUNDLE.COM HUMBLEBUNDLE.CA,15,debit,Uncategorized,COLLEGE CARD,,
05/02/14,2014,5,Pretzel Twister,THE PRETZEL TWISTER #K CARY NC,6.4,debit,Restaurants,COLLEGE CARD,,
05/02/14,2014,5,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,6.77,debit,Coffee Shops,COLLEGE CARD,,
05/02/14,2014,5,Check 1521,CASHED CHECK # 1521,100,debit,Check,Wells Fargo Checking Acct,,
05/02/14,2014,5,Tarantini,TARANTINI - CHAPEL HILL NC 0635,75.68,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/02/14,2014,5,Ltf Life Time,LTF*LIFE TIME MO DUES,127,debit,Ali All Expenses,Chase VISA,,
05/02/14,2014,5,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",7.5,debit,Restaurants,Schwab,,
05/01/14,2014,5,Home Depot,THE HOME DEPOT 3620 - DURHAM NC 2108,34.12,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Stein Mart,STEIN MART #290 - CHAPEL HILL NC 3777,53.72,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Transfer from Schwab,PAYMENT - ELECTRONIC 9098,2700.49,credit,Credit Card Payment,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Open Eye Cafe,OPEN EYE CAFE - CARRBORO NC 1127,11.75,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC 9830,30.68,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Macy's,MACY'S EAST #783 - DURHAM NC 8814,79.43,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Aerosoles,AEROSOLES 089 - DURHAM NC 0068,137.6,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Pioneertele Me,8008089000 PIONEERTELE - 888-4926878 ME 6005,10.56,debit,Home Phone,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Town Country Service,TOWN & COUNTRY SERVICE - 919-967-7592 NC 0240,330,debit,Housecleaning,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Music Loft,THE MUSIC LOFT - CARRBORO NC 0010,6,debit,Music,Fidelity Investments Investment Rewards Signature Visa,,
05/01/14,2014,5,Marathon,MARATHON PETROLEUM CCHAPEL HILL13168537000 AUTO FUEL DISPENSER 320141210590589531,51.26,debit,Gas & Fuel,Costco AmEx,,
05/01/14,2014,5,Firewurst Cary,FIREWURST           CARY39910032    919-651-8350 320141210595975257,26.64,debit,Uncategorized,Costco AmEx,,
05/01/14,2014,5,Cup A Joe,SQ *CUP A JOE HILLS Raleigh NC,6.68,debit,Restaurants,COLLEGE CARD,,
05/01/14,2014,5,Withdrawal,Electronic Withdrawal,70,debit,Cash & ATM,Schwab,,
05/01/14,2014,5,Check 1039,Check Paid #1039,148,debit,Check,Schwab,,
05/01/14,2014,5,Transfer to Fidelity Investments Investment Rewards Signature‰Û_,FIA ONLINE PYMT ONLINE PMT 140501,2700.49,debit,Credit Card Payment,Schwab,,
05/01/14,2014,5,Open Eye Cafe,"OPEN EYE CAFE CARRBORO, NC #00000019",10,debit,Restaurants,Schwab,,
04/30/14,2014,4,Kroger,KROGER #342 - CARY NC 4007,13.89,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
04/30/14,2014,4,Netflix,NETFLIX.COM - NETFLIX.COM CA 7452,8.59,debit,Movies & DVDs,Fidelity Investments Investment Rewards Signature Visa,,
04/30/14,2014,4,Pet Pad,THE PET PAD - CARY NC 0090,8.44,debit,Pet Food & Supplies,Fidelity Investments Investment Rewards Signature Visa,,
04/30/14,2014,4,Transfer from Schwab,Payment Thank You Bill Pa,405.96,credit,Credit Card Payment,Chase VISA,,
04/30/14,2014,4,Target,TARGET 00009613 CARY NC,21.93,debit,Shopping,COLLEGE CARD,,
04/30/14,2014,4,Check 1520,CHECK # 1520,20,debit,Check,Wells Fargo Checking Acct,,
04/30/14,2014,4,Amazon,AMAZON DIG486929 Misc. Paym 140421 48649117D Amazon.com Payments ID#12803997,4.93,credit,Shopping,JDC Planning,,
04/30/14,2014,4,Amazon,ON DEMAND 486899 Misc. Paym 140421 48686430D Amazon.com Payments ID#12893625,2.82,credit,Shopping,JDC Planning,,
04/30/14,2014,4,Marathon,MARATHON PETROLEUM CCHAPEL HILL13168535500 AUTO FUEL DISPENSER 320141200579374691,34.62,debit,Gas & Fuel,Costco AmEx,,
04/30/14,2014,4,Caffe Driade,"CAFFE DRIADE CHAPEL HILL, NC #00000",5.5,debit,Restaurants,Schwab,,
